id,name,team_id,team_name,position,price,ownership,status,chance,minutes,total_points,form,ppg,ep_next,ep_this,goals,assists,clean_sheets,bonus,bps,ict,creativity,threat,influence,starts,news,fixture_next3,fixture_next6,expected_minutes,expected_gw_points,value,player_score,value_score,captain_score,differential_score,transfer_score,recommendation
532,Ballard,20,Sunderland,DEF,5.0,4.7,a,100.0,2144.0,116.0,0.0,4.0,2.2,0.0,2.0,2.0,6.0,9.0,340.0,121.5,181.2,370.0,662.8,24.0,,0.6666666666666666,0.5,75.2,1.911,0.3822,19.11,3.822,29.659999999999997,12.968412533333334,2.251668446666667,AVOID
112,Van Hecke,19,Spurs,DEF,5.0,8.9,a,100.0,3210.0,148.0,0.0,4.1,2.2,0.0,3.0,3.0,10.0,8.0,575.0,152.0,240.4,295.0,980.6,36.0,,0.5833333333333334,0.5,75.1,1.845,0.369,18.45,3.69,28.9,12.169473666666663,2.109796397222223,AVOID
539,O'Nien,20,Sunderland,DEF,4.0,3.1,a,100.0,565.0,26.0,0.0,2.2,1.0,0.0,0.0,1.0,2.0,1.0,90.0,17.1,27.6,40.0,103.0,5.0,,0.6666666666666666,0.5,68.1,1.121,0.28025,11.21,2.8025,14.9908,8.212001416666666,1.6234843337500002,AVOID
508,Davies,19,Spurs,DEF,4.0,1.0,a,100.0,136.0,10.0,0.0,3.3,1.0,0.0,1.0,0.0,0.0,1.0,29.0,14.2,22.2,52.0,67.4,2.0,,0.5833333333333334,0.5,62.6,1.102,0.2755,11.020000000000001,2.7550000000000003,14.9076,8.097287000000001,1.5174282438888893,AVOID
259,Diop,12,Ipswich Town,DEF,4.0,18.1,a,100.0,812.0,31.0,0.0,2.4,1.0,0.0,1.0,0.0,1.0,3.0,103.0,23.0,8.0,31.0,190.8,8.0,,0.4166666666666667,0.5,70.5,1.009,0.25225,10.09,2.5225,13.139000000000001,6.236738749999999,1.2815178104166667,AVOID
411,Haaland,15,Man City,FWD,15.5,70.7,a,100.0,2953.0,239.0,0.0,6.8,4.0,0.0,27.0,8.0,13.0,43.0,952.0,302.3,320.1,1520.0,1180.4,34.0,,0.5833333333333334,0.5,76.8,3.377,0.21787096774193546,33.769999999999996,2.1787096774193544,44.22,19.635257849462363,2.731411693763441,AVOID
492,Awoniyi,18,Nott'm Forest,FWD,5.5,0.5,a,100.0,480.0,43.0,0.0,2.5,1.8,0.0,4.0,2.0,1.0,4.0,170.0,48.4,79.0,235.0,177.2,3.0,,0.5,0.5,63.1,1.973,0.35872727272727273,19.73,3.5872727272727274,28.802,12.988022828282828,2.0193955442424243,AVOID
272,Kusi-Asare,10,Fulham,FWD,4.5,7.2,a,100.0,49.0,6.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,19.0,2.3,12.0,8.0,3.2,0.0,,0.4166666666666667,0.4166666666666667,26.1,0.662,0.1471111111111111,6.62,1.471111111111111,8.041333333333334,4.167986,0.7196136244444445,AVOID
199,Benitez,8,Crystal Palace,GK,4.5,0.1,a,100.0,90.0,7.0,0.0,7.0,1.9,0.0,0.0,0.0,1.0,0.0,29.0,2.3,0.0,0.0,22.8,1.0,,0.4166666666666667,0.5,75.0,1.776,0.39466666666666667,17.76,3.9466666666666668,18.752,12.651605555555555,2.078678444444445,AVOID
531,Ellborg,20,Sunderland,GK,4.5,0.1,a,100.0,270.0,16.0,0.0,5.3,1.9,0.0,0.0,0.0,1.0,3.0,62.0,7.4,0.0,0.0,73.6,3.0,,0.6666666666666666,0.5,75.0,1.654,0.3675555555555555,16.54,3.6755555555555555,18.035999999999998,11.911246296296296,2.129064703703704,AVOID
399,Cherki,15,Man City,MID,7.5,8.0,a,100.0,1772.0,135.0,0.0,4.1,2.6,0.0,4.0,13.0,8.0,16.0,580.0,218.1,996.6,579.0,604.2,19.0,,0.5833333333333334,0.5,75.2,2.352,0.3136,23.52,3.136,33.97,15.021810488888889,2.3423238488888893,AVOID
415,Dorgu,16,Man Utd,MID,6.0,1.6,a,100.0,1440.0,95.0,0.0,3.7,2.1,0.0,4.0,4.0,4.0,11.0,321.0,120.3,394.2,341.0,469.0,15.0,,0.6666666666666666,0.5416666666666666,73.7,2.109,0.3515,21.09,3.5149999999999997,31.673333333333332,14.233679055555553,2.349374223240741,AVOID
270,Reed,10,Fulham,MID,4.5,1.1,a,100.0,89.0,15.0,0.0,2.1,1.0,0.0,1.0,0.0,0.0,2.0,48.0,9.7,44.4,11.0,42.0,1.0,,0.4166666666666667,0.4166666666666667,73.1,1.495,0.33222222222222225,14.950000000000001,3.3222222222222224,17.355533333333334,10.767032345679015,1.784038824691358,AVOID
489,Yates,18,Nott'm Forest,MID,4.5,5.9,d,75.0,602.0,30.0,0.0,1.4,0.8,0.0,0.0,2.0,0.0,0.0,123.0,27.2,79.7,55.0,139.0,2.0,Unspecified injury - 75% chance of playing,0.5,0.5,54.4,1.357,0.3015555555555556,13.57,3.0155555555555558,19.0176,8.74919239506173,1.4939090064197533,AVOID
212,Hughes,8,Crystal Palace,MID,4.5,11.0,a,100.0,1560.0,45.0,0.0,1.5,1.0,0.0,0.0,1.0,5.0,0.0,217.0,60.9,322.9,90.0,198.0,19.0,,0.4166666666666667,0.5,69.7,0.9,0.2,9.0,2.0,17.15,6.1710722222222225,1.2201906111111114,AVOID
