id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
426,B.Fernandes,Man Utd,16,MID,12.0,48.9,90.0,4.24,0.3533,0.667,2.8,1.0,6.067,5.224,7.507,BUY
411,Haaland,Man City,15,FWD,15.5,70.6,90.0,4.12,0.2658,0.583,2.8,1.0,5.746,5.189,7.102,BUY
428,Cunha,Man Utd,16,MID,8.0,11.3,90.0,2.968,0.371,0.667,2.8,1.0,4.985,3.822,6.225,BUY
427,Mbeumo,Man Utd,16,MID,8.0,30.6,90.0,2.968,0.371,0.667,2.8,1.0,4.825,3.822,5.83,BUY
397,Semenyo,Man City,15,MID,8.5,26.5,90.0,2.987,0.3514,0.583,2.8,1.0,4.744,3.78,5.753,BUY
12,Saka,Arsenal,1,MID,9.5,9.7,90.0,3.104,0.3267,0.417,3.2,1.0,4.916,3.774,6.302,BUY
154,Palmer,Chelsea,6,MID,9.5,10.6,90.0,3.104,0.3267,0.417,3.0,1.0,4.877,3.774,6.206,BUY
4,Gabriel,Arsenal,1,DEF,8.0,28.7,90.0,3.88,0.485,0.417,3.2,0.469,5.627,3.668,7.011,BUY
480,Gibbs-White,Nott'm Forest,18,MID,8.0,11.9,90.0,2.8,0.35,0.5,3.0,1.0,4.622,3.518,5.769,BUY
106,Thiago,Brentford,4,FWD,8.0,17.6,90.0,2.575,0.3219,0.583,3.0,1.0,4.298,3.487,5.149,WATCH
366,Wirtz,Liverpool,14,MID,7.5,14.7,90.0,2.678,0.3571,0.583,2.6,1.0,4.458,3.445,5.38,WATCH
399,Cherki,Man City,15,MID,7.5,8.0,90.0,2.678,0.3571,0.583,2.8,1.0,4.748,3.445,6.095,BUY
400,Doku,Man City,15,MID,7.5,6.4,90.0,2.678,0.3571,0.583,2.8,0.873,4.817,3.376,6.266,BUY
55,Watkins,Aston Villa,2,FWD,8.0,12.4,90.0,2.5,0.3125,0.5,3.0,1.0,4.253,3.35,5.245,WATCH
1,Raya,Arsenal,1,GKP,6.0,34.1,90.0,3.88,0.6467,0.417,3.2,0.05,5.72,3.346,7.139,BUY
367,Gakpo,Liverpool,14,MID,7.0,3.6,90.0,2.575,0.3679,0.583,2.6,1.0,4.854,3.334,6.45,BUY
368,Szoboszlai,Liverpool,14,MID,7.0,41.2,90.0,2.575,0.3679,0.583,2.6,1.0,4.36,3.334,5.234,WATCH
398,Foden,Man City,15,MID,7.0,4.9,90.0,2.575,0.3679,0.583,2.8,1.0,4.797,3.334,6.312,BUY
379,Isak,Liverpool,14,FWD,9.0,15.3,90.0,2.781,0.309,0.583,2.6,0.267,4.482,3.237,5.397,WATCH
13,Rice,Arsenal,1,MID,7.5,20.0,90.0,2.522,0.3363,0.417,3.2,1.0,4.12,3.17,4.973,AVOID
40,Rogers,Chelsea,6,MID,7.5,26.6,90.0,2.522,0.3363,0.417,3.0,1.0,4.12,3.17,4.973,AVOID
95,O.Dango,Brentford,4,MID,6.5,1.4,90.0,2.369,0.3645,0.583,3.0,1.0,4.737,3.111,6.399,BUY
155,Enzo,Chelsea,6,MID,7.0,5.3,90.0,2.425,0.3464,0.417,3.0,1.0,4.461,3.069,5.9,WATCH
452,Bruno G.,Arsenal,1,MID,7.0,9.0,90.0,2.425,0.3464,0.417,3.2,1.0,4.3,3.069,5.506,WATCH
25,Gyökeres,Arsenal,1,FWD,7.5,11.0,90.0,2.231,0.2975,0.417,3.2,1.0,3.952,3.011,4.937,AVOID
