id,name,team_name,team_id,position,price,ownership,expected_minutes,expected_gw_points,value,fixture_next3,next5_avg_difficulty,xgi_proxy,transfer_score,captain_score,differential_score,recommendation
1,Raya,Arsenal,1,GKP,6.0,34.1,90.0,3.928,0.6547,0.417,3.2,0.05,4.749,3.829,11.963,AVOID
350,A.Becker,Liverpool,14,GKP,5.5,3.9,90.0,3.419,0.6216,0.583,2.6,0.05,5.73,3.539,14.073,WATCH
384,Donnarumma,Man City,15,GKP,5.5,9.8,90.0,3.359,0.6107,0.583,2.8,0.05,5.075,3.477,12.325,AVOID
226,Pickford,Everton,9,GKP,5.5,8.5,90.0,3.3,0.6,0.417,3.0,0.05,4.89,3.217,12.167,AVOID
351,Mamardashvili,Liverpool,14,GKP,5.0,0.2,90.0,2.694,0.5388,0.583,2.6,0.05,5.453,2.789,13.195,AVOID
412,Lammens,Man Utd,16,GKP,5.0,18.4,90.0,2.647,0.5294,0.667,2.8,0.05,4.044,2.82,9.274,AVOID
82,Kelleher,Brentford,4,GKP,5.0,5.9,90.0,2.6,0.52,0.583,3.0,0.05,4.775,2.691,11.393,AVOID
140,Sánchez,Chelsea,6,GKP,5.0,2.2,90.0,2.6,0.52,0.417,3.0,0.05,4.895,2.535,12.047,AVOID
442,Pope,Newcastle,17,GKP,5.0,1.3,90.0,2.6,0.52,0.417,3.0,0.05,4.985,2.535,12.287,AVOID
467,Sels,Nott'm Forest,18,GKP,5.0,1.6,90.0,2.6,0.52,0.5,3.0,0.05,5.08,2.613,12.373,AVOID
28,Martinez,Aston Villa,2,GKP,5.0,4.8,90.0,2.6,0.52,0.5,3.0,0.05,4.76,2.613,11.52,AVOID
198,Henderson,Crystal Palace,8,GKP,5.0,3.2,90.0,2.6,0.52,0.417,3.0,0.05,4.795,2.535,11.78,AVOID
529,Roefs,Sunderland,20,GKP,5.0,4.8,90.0,2.553,0.5106,0.667,3.2,0.05,4.956,2.72,11.712,AVOID
356,Virgil,Liverpool,14,DEF,6.5,17.9,90.0,3.212,0.4942,0.583,2.6,0.521,4.124,3.481,10.061,AVOID
4,Gabriel,Arsenal,1,DEF,8.0,28.7,90.0,3.928,0.491,0.417,3.2,0.469,4.258,3.989,11.144,AVOID
387,O'Reilly,Man City,15,DEF,6.5,21.6,90.0,3.156,0.4855,0.583,2.8,0.879,4.067,3.536,9.906,AVOID
388,Guéhi,Man City,15,DEF,6.0,20.3,90.0,2.85,0.475,0.583,2.8,0.642,3.868,3.124,9.242,AVOID
498,Senesi,Spurs,19,DEF,6.0,9.6,90.0,2.85,0.475,0.583,2.8,0.625,4.408,3.119,10.682,AVOID
357,Frimpong,Liverpool,14,DEF,5.5,3.2,90.0,2.59,0.4709,0.583,2.6,0.205,4.892,2.722,11.848,AVOID
358,Kerkez,Liverpool,14,DEF,5.5,4.4,90.0,2.59,0.4709,0.583,2.6,0.219,4.772,2.726,11.528,AVOID
200,Lacroix,Chelsea,6,DEF,6.0,10.6,90.0,2.8,0.4667,0.417,3.0,0.328,4.005,2.805,9.94,AVOID
229,Tarkowski,Everton,9,DEF,6.0,9.5,90.0,2.8,0.4667,0.417,3.0,0.463,4.115,2.842,10.233,AVOID
392,Aït-Nouri,Man City,15,DEF,5.5,1.0,90.0,2.545,0.4627,0.583,2.8,0.254,5.063,2.688,12.304,AVOID
390,Rúben,Man City,15,DEF,5.5,1.6,90.0,2.545,0.4627,0.583,2.8,0.122,5.003,2.653,12.144,AVOID
391,Gvardiol,Man City,15,DEF,5.5,12.0,90.0,2.545,0.4627,0.583,2.8,0.295,3.963,2.699,9.37,AVOID
